ERR558185	ERR558185.fastq	6702322
ERR558186	ERR558186.fastq	5700914
ERR558187	ERR558187.fastq	6377264
ERR558188	ERR558188.fastq	5456327
ERR558189	ERR558189.fastq	5252644
ERR558190	ERR558190.fastq	2922155
ERR558191	ERR558191.fastq	7561761
ERR558192	ERR558192.fastq	3590859
ERR558193	ERR558193.fastq	3635162
SRR014351	SRR014351_1.fastq	1
SRR014352	SRR014352_1.fastq	1
SRR029123	SRR029123_1.fastq	1315592
SRR029124	SRR029124_1.fastq	2701252
SRR032476	SRR032476_1.fastq	3283978
SRR032477	SRR032477_1.fastq	3924599
SRR035544	SRR035544_1.fastq	35552
SRR035545	SRR035545_1.fastq	3597115
SRR035546	SRR035546_1.fastq	2721967
SRR036085	SRR036085_1.fastq	354400
SRR039190	SRR039190_1.fastq	130391
SRR039191	SRR039191_1.fastq	1528725
SRR039230	SRR039230_1.fastq	NA
SRR039634	SRR039634_1.fastq	6128335
SRR042443	SRR042443_1.fastq	1672561
SRR042444	SRR042444_1.fastq	2310010
SRR042445	SRR042445_1.fastq	329267
SRR042446	SRR042446_1.fastq	142208
SRR042447	SRR042447_1.fastq	699200
SRR042448	SRR042448_1.fastq	380474
SRR042449	SRR042449_1.fastq	311352
SRR042450	SRR042450_1.fastq	694249
SRR042451	SRR042451_1.fastq	76706
SRR042453	SRR042453_1.fastq	56093
SRR042454	SRR042454_1.fastq	199026
SRR042455	SRR042455_1.fastq	760352
SRR042456	SRR042456_1.fastq	457584
SRR042457	SRR042457_1.fastq	2086731
SRR042458	SRR042458_1.fastq	2402582
SRR042459	SRR042459_1.fastq	1720071
SRR042460	SRR042460_1.fastq	141565
SRR042461	SRR042461_1.fastq	68269
SRR042462	SRR042462_1.fastq	358152
SRR042463	SRR042463_1.fastq	1565253
SRR042464	SRR042464_1.fastq	1523634
SRR042465	SRR042465_1.fastq	1716464
SRR042466	SRR042466_1.fastq	436913
SRR042467	SRR042467_1.fastq	369671
SRR042468	SRR042468_1.fastq	576179
SRR042469	SRR042469_1.fastq	790261
SRR042470	SRR042470_1.fastq	2785866
SRR042471	SRR042471_1.fastq	16594007
SRR042472	SRR042472_1.fastq	2566462
SRR042473	SRR042473_1.fastq	588346
SRR042474	SRR042474_1.fastq	1646468
SRR042475	SRR042475_1.fastq	106955
SRR042476	SRR042476_1.fastq	474240
SRR042477	SRR042477_1.fastq	503646
SRR042478	SRR042478_1.fastq	365335
SRR042479	SRR042479_1.fastq	404891
SRR042480	SRR042480_1.fastq	1134797
SRR042481	SRR042481_1.fastq	358441
SRR042482	SRR042482_1.fastq	1566659
SRR042483	SRR042483_1.fastq	2115747
SRR042484	SRR042484_1.fastq	1626301
SRR042485	SRR042485_1.fastq	206340
SRR042486	SRR042486_1.fastq	33158
SRR042487	SRR042487_1.fastq	1050847
SRR042488	SRR042488_1.fastq	2952676
SRR080697	SRR080697_1.fastq	9091043
SRR080698	SRR080698_1.fastq	7232187
SRR080699	SRR080699_1.fastq	9896057
SRR080700	SRR080700_1.fastq	9904534
SRR080701	SRR080701_1.fastq	11415265
SRR080702	SRR080702_1.fastq	10073325
SRR1042915	SRR1042915_1.fastq	12922576
SRR1042916	SRR1042916_1.fastq	4439950
SRR1042917	SRR1042917_1.fastq	6239938
SRR1658345	SRR1658345_1.fastq	29949765
SRR1658346	SRR1658346_1.fastq	3451513
SRR1658347	SRR1658347_1.fastq	7073858
SRR1658348	SRR1658348_1.fastq	3445370
SRR1658349	SRR1658349_1.fastq	8515620
SRR1658350	SRR1658350_1.fastq	10611684
SRR1658351	SRR1658351_1.fastq	7324426
SRR1658352	SRR1658352_1.fastq	28939540
SRR1658353	SRR1658353_1.fastq	5534579
SRR1658354	SRR1658354_1.fastq	5834969
SRR1658355	SRR1658355_1.fastq	8096221
SRR1658356	SRR1658356_1.fastq	6333232
SRR1658357	SRR1658357_1.fastq	7612086
SRR1658358	SRR1658358_1.fastq	9244782
SRR1658359	SRR1658359_1.fastq	5299735
SRR1658360	SRR1658360_1.fastq	6730551
SRR309288	SRR309288_1.fastq	9554266
SRR309289	SRR309289_1.fastq	17370493
SRR309290	SRR309290_1.fastq	14566214
SRR324705	SRR324705_1.fastq	6674437
SRR324706	SRR324706_1.fastq	5442890
SRR332252	SRR332252_1.fastq	966368
SRR332253	SRR332253_1.fastq	872598
SRR332254	SRR332254_1.fastq	1646441
SRR332255	SRR332255_1.fastq	1702848
SRR649535	SRR649535_1.fastq	1
SRR804662	SRR804662_1.fastq	2557757
SRR804663	SRR804663_1.fastq	1599273
SRR804664	SRR804664_1.fastq	2508479
SRR804665	SRR804665_1.fastq	2497944
SRR804666	SRR804666_1.fastq	87725
SRR804667	SRR804667_1.fastq	3009120
SRR804668	SRR804668_1.fastq	3025567
SRR804669	SRR804669_1.fastq	3023364
SRR804670	SRR804670_1.fastq	3045600
SRR804671	SRR804671_1.fastq	29781
SRR804672	SRR804672_1.fastq	2299780
SRR804673	SRR804673_1.fastq	592821
SRR804674	SRR804674_1.fastq	2365954
SRR804675	SRR804675_1.fastq	964945
SRR804676	SRR804676_1.fastq	2296455
SRR804677	SRR804677_1.fastq	2077319
SRR804678	SRR804678_1.fastq	2954031
SRR804679	SRR804679_1.fastq	1747081
SRR804680	SRR804680_1.fastq	3186320
SRR804681	SRR804681_1.fastq	2628906
SRR804682	SRR804682_1.fastq	3250752
SRR804683	SRR804683_1.fastq	3260207
SRR804684	SRR804684_1.fastq	219861
SRR804685	SRR804685_1.fastq	1080745
SRR804686	SRR804686_1.fastq	1069366
SRR804687	SRR804687_1.fastq	268990
SRR804688	SRR804688_1.fastq	2132280
SRR804689	SRR804689_1.fastq	863405
SRR804690	SRR804690_1.fastq	2823030
SRR804691	SRR804691_1.fastq	2865093
SRR804692	SRR804692_1.fastq	1016355
SRR804693	SRR804693_1.fastq	2837673
SRR804694	SRR804694_1.fastq	2054474
SRR886747	SRR886747_1.fastq	19570621
SRR947051	SRR947051_1.fastq	7148731
SRR947052	SRR947052_1.fastq	7646410
SRR947053	SRR947053_1.fastq	5084184
SM1	NA	288389
SM11	NA	1279463
SM12	NA	6979561
SM13	NA	6584234
SM2	NA	2103052
SM3	NA	2720629
SM6	NA	2469565
SM7	NA	3898087
SM8	NA	4221781
